CDR,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
F2.M92,0.64,0.73,0.71,0.71,0.72,0.75,0.76,0.77,0.76,0.78,0.76,0.80,0.79,0.80,0.78,0.79,0.82,0.83,0.83,0.81,0.82,0.81,0.80,0.81,0.77,0.79,0.75,0.78,0.74,1.00
F2.M93,0.23,0.59,0.57,0.65,0.68,0.72,0.74,0.77,0.79,0.82,0.83,0.86,0.87,0.87,0.88,0.90,0.91,0.91,0.92,0.94,0.94,0.96,0.93,0.95,0.93,0.96,0.96,1.00,1.00,1.00
F2.M94,0.64,0.73,0.74,0.75,0.75,0.80,0.79,0.81,0.82,0.84,0.84,0.85,0.87,0.88,0.87,0.89,0.90,0.92,0.94,0.92,0.93,0.95,0.94,0.95,0.95,0.94,0.94,0.94,0.87,1.00
F2.M95,0.23,0.80,0.75,0.81,0.83,0.88,0.87,0.89,0.88,0.87,0.85,0.89,0.88,0.89,0.86,0.89,0.89,0.91,0.86,0.86,0.82,0.82,0.79,0.88,0.76,0.84,0.82,0.84,0.85,1.00
F2.M96,0.23,0.57,0.56,0.59,0.58,0.62,0.66,0.68,0.72,0.76,0.79,0.83,0.84,0.87,0.87,0.89,0.90,0.91,0.91,0.95,0.94,0.96,0.94,0.95,0.93,0.96,0.96,0.99,1.00,1.00
F2.M97,0.10,0.49,0.48,0.60,0.66,0.71,0.72,0.77,0.82,0.82,0.83,0.87,0.87,0.88,0.90,0.90,0.91,0.91,0.91,0.91,0.90,0.90,0.88,0.91,0.88,0.93,0.90,0.88,0.90,1.00
F2.M98,0.23,0.65,0.63,0.74,0.73,0.80,0.77,0.78,0.78,0.76,0.74,0.79,0.78,0.78,0.75,0.79,0.80,0.81,0.81,0.84,0.81,0.83,0.77,0.87,0.78,0.83,0.79,0.78,0.71,1.00
F2.M99,0.23,0.81,0.75,0.82,0.83,0.88,0.87,0.89,0.88,0.87,0.85,0.89,0.88,0.89,0.85,0.89,0.89,0.91,0.86,0.86,0.82,0.82,0.79,0.88,0.76,0.84,0.82,0.84,0.85,1.00
F2.M100,0.23,0.73,0.67,0.77,0.77,0.82,0.80,0.80,0.81,0.82,0.80,0.84,0.86,0.85,0.84,0.86,0.86,0.86,0.85,0.83,0.81,0.80,0.78,0.86,0.78,0.85,0.80,0.85,0.85,1.00
F2.M101,0.64,0.73,0.73,0.73,0.73,0.76,0.77,0.77,0.78,0.81,0.83,0.84,0.85,0.85,0.85,0.88,0.89,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.93,0.93,0.86,1.00
F2.M102,0.64,0.72,0.73,0.70,0.71,0.73,0.70,0.74,0.76,0.76,0.80,0.80,0.82,0.83,0.82,0.83,0.87,0.87,0.86,0.89,0.88,0.89,0.88,0.92,0.87,0.91,0.88,0.91,0.86,1.00
F2.M103,0.23,0.56,0.51,0.57,0.55,0.63,0.66,0.70,0.76,0.78,0.79,0.86,0.85,0.88,0.89,0.90,0.91,0.91,0.91,0.95,0.93,0.95,0.92,0.94,0.90,0.96,0.95,0.99,0.99,1.00
F2.M104,0.23,0.61,0.57,0.66,0.64,0.71,0.74,0.75,0.79,0.80,0.79,0.85,0.83,0.85,0.82,0.84,0.85,0.85,0.84,0.85,0.85,0.83,0.80,0.88,0.76,0.86,0.77,0.78,0.68,1.00
F2.M105,0.23,0.56,0.52,0.57,0.55,0.63,0.66,0.70,0.76,0.78,0.79,0.86,0.85,0.88,0.89,0.90,0.91,0.91,0.91,0.95,0.93,0.95,0.92,0.94,0.90,0.96,0.95,0.99,0.99,1.00
F2.M106,0.64,0.71,0.72,0.72,0.72,0.73,0.74,0.73,0.73,0.74,0.72,0.76,0.78,0.78,0.75,0.76,0.77,0.78,0.80,0.76,0.76,0.76,0.75,0.74,0.71,0.75,0.72,0.78,0.74,1.00
F2.M107,0.34,0.59,0.69,0.73,0.77,0.80,0.82,0.84,0.86,0.86,0.85,0.86,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.90,0.91,0.94,0.93,0.93,0.93,0.96,0.96,0.98,0.96,1.00
F2.M108,0.59,0.72,0.74,0.78,0.79,0.81,0.81,0.82,0.84,0.85,0.85,0.86,0.87,0.89,0.86,0.86,0.86,0.87,0.90,0.89,0.89,0.91,0.90,0.91,0.91,0.91,0.89,0.91,0.85,1.00
F2.M109,0.10,0.87,0.82,0.82,0.81,0.83,0.85,0.85,0.85,0.82,0.82,0.82,0.80,0.81,0.79,0.80,0.80,0.79,0.78,0.77,0.76,0.77,0.76,0.78,0.77,0.80,0.83,0.88,0.93,1.00
F2.M110,0.34,0.52,0.51,0.58,0.62,0.63,0.66,0.68,0.70,0.72,0.75,0.77,0.78,0.80,0.81,0.82,0.84,0.86,0.88,0.90,0.90,0.90,0.89,0.89,0.85,0.92,0.89,0.95,0.92,1.00
F2.M111,0.34,0.95,0.77,0.79,0.77,0.78,0.79,0.81,0.81,0.77,0.74,0.77,0.74,0.75,0.72,0.74,0.72,0.75,0.70,0.72,0.69,0.69,0.68,0.71,0.67,0.74,0.73,0.82,0.87,1.00
F2.M112,0.34,0.81,0.79,0.81,0.81,0.80,0.82,0.79,0.82,0.78,0.77,0.78,0.77,0.75,0.75,0.72,0.69,0.71,0.67,0.65,0.63,0.63,0.57,0.59,0.56,0.61,0.59,0.74,0.69,1.00
